K,Algorithm,Accuracy_Mean,Accuracy_Std,Corr_Mean,Time_Mean,ITTR_Mean,ITTR_Std
8,RS,21.916666666666668,0.6770032003863293,0.5998984205923238,37.03567910194397,30000.0,0.0
8,SAHC,100.0,0.0,0.994292533009207,36.053514337539674,2732.4,199.86755614656423
8,SA,88.75,1.086533734200444,0.9905218917232512,37.052728986740114,21047.0,307.7141530706704
8,GA,56.25,2.47206616236522,0.9339509965968373,40.04498443603516,30000.0,0.0
8,TS,91.91666666666666,1.1055415967851323,0.992136386614237,36.107104778289795,2866.2,259.5360475926225
10,RS,17.266666666666666,1.1035296904831235,0.534371529752067,44.26513900756836,30000.0,0.0
10,SAHC,100.0,0.0,0.9945871034920429,43.44073801040649,5147.0,325.433249684171
10,SA,82.33333333333334,1.8378731669453672,0.9878491107194926,44.23117518424988,22601.8,650.4156824677584
10,GA,50.8,1.2400716825158835,0.9252788145589557,47.37685203552246,30000.0,0.0
10,TS,91.73333333333332,0.326598632371091,0.9928629661239654,43.39071168899536,5199.0,377.7125891468273
12,RS,13.833333333333332,0.9196080754026029,0.48557482402845914,51.157522201538086,30000.0,0.0
12,SAHC,99.0,0.6712803318663642,0.9944366236410469,50.08012285232544,9334.8,295.31434099955254
12,SA,75.88888888888889,1.2472191289246506,0.9835705290908072,51.06921906471253,24217.4,87.28940370972872
12,GA,45.888888888888886,1.9751543149590185,0.9140064173682901,54.30970520973206,30000.0,0.0
12,TS,92.16666666666667,0.4444444444444457,0.9930196865361095,50.22572813034058,9429.2,374.1424327712643
14,RS,12.285714285714286,0.4416008807378917,0.437540057074319,57.561892080307004,30000.0,0.0
14,SAHC,87.04761904761905,1.604980909176443,0.9908234809285512,56.63934373855591,15422.4,384.59204359944835
14,SA,69.9047619047619,1.4568627181693654,0.9781113393385894,57.70579090118408,25468.6,424.56971159045247
14,GA,42.38095238095238,2.025909274874539,0.9008612605330493,60.83940124511719,30000.0,0.0
14,TS,83.85714285714286,2.480765005263066,0.9898223872831361,56.731661033630374,15486.8,402.42584410050006
16,RS,9.791666666666668,0.5743353646704257,0.3989405307215962,66.43571872711182,30000.0,0.0
16,SAHC,64.37499999999999,1.8304902197073971,0.974147497151266,65.30810647010803,22702.0,912.596953753408
16,SA,66.25000000000001,1.4907119849998645,0.974557687542631,66.19680395126343,26551.2,359.126384438682
16,GA,40.12500000000001,0.9464847243000455,0.8911440051762906,69.57354393005372,30000.0,0.0
16,TS,64.375,1.6509677296799101,0.9741099307648289,65.32631206512451,22758.0,948.452001948438
18,RS,9.444444444444446,0.8029438292103256,0.37310225728242286,71.84305472373963,30000.0,0.0
18,SAHC,46.222222222222214,1.139152333276272,0.9354157109152114,70.74827342033386,30000.0,0.0
18,SA,61.81481481481482,1.190958162282485,0.9691615188012825,71.74669752120971,27400.2,220.8903800530933
18,GA,38.592592592592595,1.1863420280034789,0.8864892512404147,75.38393812179565,30000.0,0.0
18,TS,46.25925925925926,1.1499388663896295,0.9354899443725531,70.84731254577636,30000.0,0.0
20,RS,8.799999999999999,0.49888765156985915,0.345465127064545,79.80876569747925,30000.0,0.0
20,SAHC,33.766666666666666,0.9809292646374786,0.8723809805925804,78.68653512001038,30000.0,0.0
20,SA,57.5,0.829993306532583,0.9628331128240942,79.74206132888794,28495.8,374.11677321392585
20,GA,35.0,0.5477225575051665,0.8668822089014044,83.1842276096344,30000.0,0.0
20,TS,33.93333333333334,0.980929264637481,0.8738865127797093,78.75414810180663,30000.0,0.0
22,RS,7.636363636363636,0.758181575951321,0.32664921859472723,86.97928767204284,30000.0,0.0
22,SAHC,26.060606060606062,1.1657808522225062,0.7965859376107853,85.93186960220336,30000.0,0.0
22,SA,54.636363636363626,1.1034631185474635,0.9571676083163313,87.07430748939514,29175.2,267.1968562689314
22,GA,33.878787878787875,1.132214648016328,0.8614883251214961,90.31379632949829,30000.0,0.0
22,TS,26.21212121212121,1.165780852222506,0.7986692889514375,85.98995938301087,30000.0,0.0
24,RS,7.194444444444445,0.4249182927993991,0.31061857577361063,94.58246269226075,30000.0,0.0
24,SAHC,21.416666666666668,0.3215510250775072,0.7276263814099885,94.26764931678773,30000.0,0.0
24,SA,51.88888888888888,0.5166965343816201,0.9524288296419476,98.26355128288269,29682.0,348.89253359738154
24,GA,32.30555555555556,0.9444444444444431,0.8493101513217759,98.32561345100403,30000.0,0.0
24,TS,21.555555555555557,0.3215510250775063,0.7303872154944948,93.77932901382447,30000.0,0.0
